package,data,file_num,type,location,filename,prefix,suffix,gsub1
SupportingData,habitat_rasters,20,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/supporting_layers/habitats,,hab_,_mol,_lzw
SupportingData,habitat_num,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/supporting_layers/habitat_num,,,_mol,
SupportingData,ocean_mask,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/work/coastal_population/ocean_mask,,,_mol,
SupportingData,habitat_x_pressure,1,csv,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/work,vulnerability_weighting_matrix.csv,,,
RawData,raw_data_2008_night_lights,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/new_layers/night_lights/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_oil_rigs,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/new_layers/oil_rigs/moll_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_plumes_fert,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/new_layers/plumes_fert/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_plumes_pest,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/new_layers/plumes_pest/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_population,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/new_layers/population/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_sst,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/new_layers/sst/moll_nontrans_unclipped_1km_pos,,raw_2008_,_mol,
RawData,raw_data_2008_uv,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/new_layers/uv/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_artisanal_fishing,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/artisanal_fishing/moll_nontrans_clipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_demersal_destructive_fishing,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/demersal_destructive_fishing/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_demersal_nondest_high_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/demersal_nondest_high_bycatch/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_demersal_nondest_low_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/demersal_nondest_low_bycatch/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_inorganic,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/inorganic/moll_nontrans_clipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_invasives,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/invasives/moll_nontrans_clipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_ocean_acidification,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/ocean_acidification/moll_nontrans_clipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_ocean_pollution,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/ocean_pollution/moll_nontrans_clipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_pelagic_high_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/pelagic_high_bycatch/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_pelagic_low_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/pelagic_low_bycatch/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2008_shipping,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_interim/old_layers/shipping/moll_nontrans_clipped_1km,,raw_2008_,_mol,
RawData,raw_data_2013_demersal_destructive_fishing,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/demersal_destructive_fishing/moll_nontrans_unclipped_1km,,raw_2008_,_mol,
RawData,raw_data_2013_demersal_nondest_high_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/demersal_nondest_high_bycatch/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_demersal_nondest_low_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/demersal_nondest_low_bycatch/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_invasives,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/invasives/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_night_lights,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/night_lights/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_ocean_pollution,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/ocean_pollution/moll_nontrans_clipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_oil_rigs,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/oil_rigs/moll_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_pelagic_high_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/pelagic_high_bycatch/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_pelagic_low_bycatch,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/pelagic_low_bycatch/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_plumes_fert,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/plumes_fert/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_plumes_pest,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/plumes_pest/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_population,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/population/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_shipping,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/shipping/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_slr,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/slr/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_sst,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/sst/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_uv,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/new_layers/uv/moll_nontrans_unclipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_artisanal_fishing,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/old_layers/artisanal_fishing/moll_nontrans_clipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_inorganic,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/old_layers/inorganic/moll_nontrans_clipped_1km,,raw_2013_,_mol,
RawData,raw_data_2013_ocean_acidification,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_interim/old_layers/ocean_acidification/moll_nontrans_clipped_1km,,raw_2013_,_mol,
TransformedOneTimePeriod,transformed_one_time_period_2008,18,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_final/normalized_by_one_time_period,,transformed_2008_one_,_mol,
TransformedOneTimePeriod,transformed_one_time_period_2013,19,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_final/normalized_by_one_time_period,,transformed_2013_one_,_mol,
TransformedTwoTimePeriod,transformed_two_time_period_2008,15,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2008_final/normalized_by_two_time_periods,,transformed_2008_two_,_mol,
TransformedTwoTimePeriod,transformed_two_time_period_2013,15,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/impact_layers/final_impact_layers/threats_2013_final/normalized_by_two_time_periods,,transformed_2013_two_,_mol,
ModeledOneTimePeriod,modeled_pressure_one_time_period_2013,19,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/global_impact_model_2013/normalized_by_one_time_period/averaged_by_num_ecosystems/by_threat,,modeled_one_2013_,_mol,_combo
ModeledOneTimePeriod,modeled_cumulative_impacts_one_time_period_2013,1,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/global_impact_model_2013/normalized_by_one_time_period/averaged_by_num_ecosystems/all_layers,,modeled_one_2013_,_mol,_all_layers
ModeledTwoTimePeriod,modeled_pressure_two_time_period_2013,15,tif,/var/cache/halpern-et-al/mnt/storage/marine_threats/impact_layers_2013_redo/global_impact_model_2013/normalized_by_two_time_periods/averaged_by_num_ecosystems/by_threat,,modeled_two_2013_,_mol,_combo
